"# C05 depth-averaged current, WAMOS absolute rotation exp(-i*14.4deg) applied"
"# along principal axis 113.4/293.4 deg true; +=toward 113, -=toward 293"
start_utc,end_utc,duration_h,peak_along_cm_s,direction
2022-12-05T16:24:00,2022-12-05T18:00:00,1.60,-104.5,WEST
2022-12-07T16:24:00,2022-12-07T19:47:59,3.40,-98.9,WEST
2022-12-08T06:36:00,2022-12-08T07:47:59,1.20,102.8,EAST
2022-12-09T07:12:00,2022-12-09T08:12:00,1.00,87.4,EAST
2022-12-09T17:23:59,2022-12-09T20:23:59,3.00,-107.9,WEST
2022-12-10T06:47:59,2022-12-10T09:24:00,2.60,96.8,EAST
2022-12-10T16:12:00,2022-12-10T21:00:00,4.80,-131.2,WEST
2022-12-11T05:48:00,2022-12-11T08:12:00,2.40,109.8,EAST
2022-12-11T17:00:00,2022-12-11T21:11:59,4.20,-112.9,WEST
2022-12-12T05:35:59,2022-12-12T07:47:59,2.20,129.9,EAST
2022-12-12T17:23:59,2022-12-12T22:24:00,5.00,-110.5,WEST
2022-12-13T06:59:59,2022-12-13T08:12:00,1.20,105.1,EAST
2022-12-13T19:24:00,2022-12-13T21:59:59,2.60,-98.6,WEST
2022-12-14T17:35:59,2022-12-14T23:35:59,6.00,-116.1,WEST
2022-12-15T21:24:00,2022-12-16T00:47:59,3.40,-97.0,WEST
2022-12-20T23:00:00,2022-12-21T00:00:00,1.00,94.9,EAST
2022-12-21T16:24:00,2022-12-21T18:36:00,2.20,-113.8,WEST
2022-12-22T07:12:00,2022-12-22T10:47:59,3.60,101.9,EAST
2022-12-22T16:35:59,2022-12-22T19:35:59,3.00,-114.3,WEST
2022-12-23T07:47:59,2022-12-23T12:36:00,4.80,107.2,EAST
2022-12-23T18:24:00,2022-12-23T21:24:00,3.00,-127.6,WEST
2022-12-24T09:36:00,2022-12-24T14:12:00,4.60,129.7,EAST
2022-12-24T18:59:59,2022-12-24T22:24:00,3.40,-150.5,WEST
2022-12-25T14:48:00,2022-12-25T16:24:00,1.60,99.7,EAST
2022-12-26T01:47:59,2022-12-26T06:11:59,4.40,130.9,EAST
2022-12-26T19:24:00,2022-12-26T22:47:59,3.40,-102.6,WEST
2022-12-27T11:48:00,2022-12-27T17:48:00,6.00,112.9,EAST
